シリーズ名・書名,発売日,著者
グッバイ、ノーベル！（３）,10,竹充ヒロ
プラネットガール（２）,10,大石日々
ミンゴ　イタリア人がみんなモテると思うなよ（２）,10,ペッペ
異世界失格（１）,10,野田宏／若松卓宏
怪異と乙女と神隠し（１）,10,ぬじま
君は放課後インソムニア（３）,10,オジロマコト
こんなの、しらない（６）,10,梨月詩
つまりセフレ。,10,室たた
トロけてもいいですか？（５）,10,瓜生花子
パティオの王様たち（３）,10,おおや和美
レンタル花丸男子（３）,10,高田りえ
君の手が紡ぐ（１）,10,水沢めぐみ
私が恋などしなくても（３）,10,一井かずみ
幼なじみとセフレ契約（６）,10,宮城杏奈
カイカンドウキ（２）,10,本名ワコウ
専業不倫～堕ちていく主夫と主婦～（１）,10,甘詰留太
ケンガンオメガ（５）,10,サンドロビッチ・ヤバ子／だろめおん
ダンベル何キロ持てる？（９）,10,サンドロビッチ・ヤバ子／ＭＡＡＭ
男殺しの音頃さん（３）,10,十九島信
付き合ってあげてもいいかな（４）,10,たみふる
7こ差の事情,10,こうきくう
いいなり！女体操作　スマートフォン（下）,10,クリムゾン
いいなり！女体操作　スマートフォン（上）,10,クリムゾン
ワンナイト・モーニング（２）,10,奥山ケニチ
蕩　-tou-,10,佐野タカシ
おきらく女魔導士の開拓記　メイドと始めるまったり楽々スローライフ（１）,10,佐々木さざめき／貞清カズヒコ
ボトム　～男娼モンと拾われ少年ノラ～,10,内田春菊
スケベの青春,10,畠たかし
相方システムー学園が選んだ運命の女の子ー（２）,10,袴田めら
細氷と溶ける,10,粉子すわる
レディと野獣,10,中貫えり／エリザベス・ロールズ
愛の物語の結末は？,10,あさみさとる／ルーシー・ゴードン
悪い噂の男,10,長崎さゆり／ジョアン・ロス
砂漠に囚われた花嫁,10,斗田めぐみ／オリヴィア・ゲイツ
彼を愛せない理由,10,青海信濃／ヘレン・ビアンチン
放蕩王子と汚れなき秘書,10,村田順子／ケイトリン・クルーズ
名誉の問題,10,宮本果林／アン・ヘリス
飛野さんのバカ（３）,10,筋肉☆太郎
オヤジが美少女になってた話（１）,10,赤信号わたる
つぐももフルカラーコミック　つぐもも桃,10,浜田よしかづ
人間のいない国（１）,10,岩飛猫
女ともだち　ドラマセレクション,10,柴門ふみ
わたしの神は美しい,10,ホームラン・拳
ちょっといっぱい！（６）,10,火曜
球詠（７）,10,マウンテンプクイチ
PSYCHO-PASS サイコパス　Sinners of the System「Case.3 恩讐の彼方に＿＿」,10,斎夏生／サイコパス製作委員会
世話焼きJKと首だけデュラハン（１）,10,アユタミシン
魔女のマリーは魔女じゃない（１）,10,小林安曇
幼なじみ上司にフォーリン・ラブ,10,箱石タミィ
死都調布　南米紀行,10,斎藤潤一郎
カーストヘヴン（６）,10,緒川千世
スイートアワー1R,10,カモバーガー
ちぎれる首輪,10,ＴＯＴＩＫＯ
できちゃった男子ハメはずし編,10,御景椿
はじめての　3rd season,10,高比良りと／ＧＩＮＧＥＲ　ＢＥＲＲＹ
わななく牙のダリア（２）,10,高永ひなこ
人間カード（６・完）,11,塩塚誠／黒井嵐輔
戦国小町苦労譚　現代女子、戦場ニ立ツ（６）,11,沢田一／夾竹桃ほか
転生した大聖女は、聖女であることをひた隠す　A Tale of The Great Saint（１）,11,青辺マヒト／十夜ほか
バクちゃん（１）,11,増村十七
宇宙戦争（２）,11,Ｈ・Ｇ・ウェルズ／猪原賽ほか
王様ランキング（７）,11,十日草輔
亀奈ゆう恋愛短編集（仮）,11,亀奈ゆう
雑な生活,11,中憲人
生理ちゃん　3日目,11,小山健
ケッペキさんとEDくん（２）あなたとゼロ距離恋愛したいのです（完）,11,よしだ斑鳩
ミノタウロスの想い人（１）,11,けいじろー／晶
戦×恋（ヴァルラヴ）（10）,11,朝倉亮介
無能なナナ（６）,11,るーすぼーい／古屋庵
キングダム　ハーツIII（１）,11,野村哲也／天野シロ
たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語（５）,11,サトウとシオ／臥待始
憑き神とぼんぼん（３・完）,11,硝音あや
あやかし温泉奇譚綺譚（３）,11,辻森惺／吉村悠希
イジメカエシ。　―復讐の31（カランドリエ）―（３）,11,村下玖臓
おっさん冒険者ケインの善行（４）,11,風来山／沖野真歩
サツジンゲーム『配神限定』～なんでも願いが叶うアプリを落としたら、神々の殺し合いゲームに巻き込まれました～（２）,11,弘川ニウ
サツジンゲーム『配神限定』～なんでも願いが叶うアプリを落としたら、神々の殺し合いゲームに巻き込まれました～（３・完）,11,弘川ニウ
異世界帰りの勇者が現代最強！（２）,11,白石新／さめだ小判
怨画　―ファントム・ビデオ―（１）,11,砂川どろ
俺の現実は恋愛ゲーム？？　～かと思ったら命がけのゲームだった～（８）,11,わるいおとこ／彭傑＆奈栩
俺はまだ、本気を出していない（２）,11,三木なずな／リキタケ
貴族転生～恵まれた生まれから最強の力を得る～（１）,11,三木なずな／華嶋ひすい
小林さんは地味だけど。（３・完）,11,玉姫なお
装備枠ゼロの最強剣士　でも、呪いの装備（可愛い）なら9999個つけ放題（２）,11,坂木持丸／鷹嶋大輔
魔物を従える“帝印”を持つ転生賢者　～かつての魔法と従魔でひっそり最強の冒険者になる～（１）,11,苗原一
勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う（３）,11,深山鈴／茂村モト
妖怪戦葬（１）,11,弓咲ミサキックス
妖怪戦葬（２）,11,弓咲ミサキックス
現実の彼女はいりません！（８）,11,田尾典丈／三雲ジョージ
巻き込まれて異世界転移する奴は、大抵チート（５）,11,上月まんまる／海東方舟ほか
猫と竜（４）,11,佐々木泉／アマラほか
ニーナさんの魔法生活（３）,11,高梨りんご
ミノスのビーフ100％,11,結希シュシュ／ユキヲ
邪神ちゃんドロップキック（14）,11,ユキヲ
悪役令嬢後宮物語（２）,12,晴十ナツメグ／涼風
H/P ホスピタルポリスの勤務日誌（２）,13,杜野亜希
私たちはどうかしている（12）,13,安藤なつみ
ピーナッツバターサンドウィッチ（２）,13,ミツコ
ホタルノヒカリ　BABY（４）,13,ひうらさとる
やんごとなき一族（６）,13,こやまゆかり
逃げるは恥だが役に立つ（11）,13,海野つなみ
無能の鷹（１）,13,はんざき朝未
リビングの松永さん（８）,13,岩下慶子
